"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Tags","Images","Stock","Weight (kg)","Length (cm)","Width (cm)","Height (cm)"
"","simple","NTP-BA005","Ban Hoc Sinh Ergofit","1","0","visible","Ban Hoc Sinh Ergofit - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ban Hoc Sinh Ergofit</h3><p>San pham ban thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 110 x 60 x 73 cm</li><li>Khoi luong: 16 kg</li><li>Bao hanh 12 thang</li></ul>","2900000","3400000","Ban","ban hoc, tre em, ergonomic","https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=1200&q=80","32","16","110","60","73"
"","simple","NTP-BA006","Ban Lam Viec Gaming Carbon X","1","1","visible","Ban Lam Viec Gaming Carbon X - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ban Lam Viec Gaming Carbon X</h3><p>San pham ban thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 160 x 75 x 75 cm</li><li>Khoi luong: 28 kg</li><li>Bao hanh 12 thang</li></ul>","7600000","8900000","Ban","ban gaming, carbon, rgb","https://images.unsplash.com/photo-1586105251261-72a756497a12?auto=format&fit=crop&w=1200&q=80","18","28","160","75","75"
"","simple","NTP-GH001","Ghe An Go Tu Nhien Hana","1","1","visible","Ghe An Go Tu Nhien Hana - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe An Go Tu Nhien Hana</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 45 x 50 x 82 cm</li><li>Khoi luong: 5 kg</li><li>Bao hanh 12 thang</li></ul>","1290000","1590000","Ghe","ghe an, japandi","https://images.unsplash.com/photo-1579656592043-a20e25a4aa4b?auto=format&fit=crop&w=1200&q=80","60","5","45","50","82"
"","simple","NTP-GH002","Ghe Van Phong Ergonomic Mesh","1","0","visible","Ghe Van Phong Ergonomic Mesh - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe Van Phong Ergonomic Mesh</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 68 x 68 x 118 cm</li><li>Khoi luong: 18 kg</li><li>Bao hanh 12 thang</li></ul>","","4500000","Ghe","ghe van phong, ergonomic","https://images.unsplash.com/photo-1616627451902-6fa33f9c5b79?auto=format&fit=crop&w=1200&q=80","40","18","68","68","118"
"","simple","NTP-GH003","Ghe Thu Gian Lounge Rattan","1","0","visible","Ghe Thu Gian Lounge Rattan - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe Thu Gian Lounge Rattan</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 72 x 78 x 86 cm</li><li>Khoi luong: 12 kg</li><li>Bao hanh 12 thang</li></ul>","3500000","4200000","Ghe","ghe lounge, rattan","https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?auto=format&fit=crop&w=1200&q=80","25","12","72","78","86"
"","simple","NTP-GH004","Ghe Bar Chan Sat Loft","1","0","visible","Ghe Bar Chan Sat Loft - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe Bar Chan Sat Loft</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 42 x 42 x 102 cm</li><li>Khoi luong: 7 kg</li><li>Bao hanh 12 thang</li></ul>","","1890000","Ghe","ghe bar, loft","https://images.unsplash.com/photo-1551298370-9d3d53740c72?auto=format&fit=crop&w=1200&q=80","48","7","42","42","102"
"","simple","NTP-GH005","Ghe An Boc Da Classic","1","1","visible","Ghe An Boc Da Classic - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe An Boc Da Classic</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 47 x 54 x 88 cm</li><li>Khoi luong: 9 kg</li><li>Bao hanh 12 thang</li></ul>","2150000","2500000","Ghe","ghe an, boc da","https://images.unsplash.com/photo-1595526114035-0d45ed16cfbf?auto=format&fit=crop&w=1200&q=80","38","9","47","54","88"
"","simple","NTP-GH006","Ghe Xoay Lam Viec Neo","1","0","visible","Ghe Xoay Lam Viec Neo - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe Xoay Lam Viec Neo</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 64 x 64 x 112 cm</li><li>Khoi luong: 14 kg</li><li>Bao hanh 12 thang</li></ul>","2990000","3590000","Ghe","ghe xoay, workstation","https://images.unsplash.com/photo-1601396974228-7ad4dff65136?auto=format&fit=crop&w=1200&q=80","34","14","64","64","112"
"","simple","NTP-TK001","Tu Sach 5 Tang Minimalist Oak","1","1","visible","Tu Sach 5 Tang Minimalist Oak - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Tu Sach 5 Tang Minimalist Oak</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 80 x 35 x 180 cm</li><li>Khoi luong: 30 kg</li><li>Bao hanh 12 thang</li></ul>","3900000","4500000","Tu & Ke","tu sach, minimalist","https://images.unsplash.com/photo-1513519245088-0e12902e5a38?auto=format&fit=crop&w=1200&q=80","26","30","80","35","180"
"","simple","NTP-TK002","Ke Tivi Go Cao Su Rustic 1m8","1","0","visible","Ke Tivi Go Cao Su Rustic 1m8 - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ke Tivi Go Cao Su Rustic 1m8</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 180 x 40 x 55 cm</li><li>Khoi luong: 40 kg</li><li>Bao hanh 12 thang</li></ul>","","6500000","Tu & Ke","ke tivi, rustic","https://images.unsplash.com/photo-1616594039964-3f5f6c5f67df?auto=format&fit=crop&w=1200&q=80","22","40","180","40","55"
"","simple","NTP-TK003","Tu Giay Thong Minh Flip 24","1","0","visible","Tu Giay Thong Minh Flip 24 - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Tu Giay Thong Minh Flip 24</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 90 x 30 x 120 cm</li><li>Khoi luong: 24 kg</li><li>Bao hanh 12 thang</li></ul>","3100000","3600000","Tu & Ke","tu giay, thong minh","https://images.unsplash.com/photo-1578898887932-dce23a595ad4?auto=format&fit=crop&w=1200&q=80","30","24","90","30","120"
"","simple","NTP-TK004","Ke Treo Tuong Gallery 4 Tang","1","0","visible","Ke Treo Tuong Gallery 4 Tang - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ke Treo Tuong Gallery 4 Tang</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 120 x 24 x 78 cm</li><li>Khoi luong: 8 kg</li><li>Bao hanh 12 thang</li></ul>","","2100000","Tu & Ke","ke treo tuong, decor","https://images.unsplash.com/photo-1597074866923-dc0589150358?auto=format&fit=crop&w=1200&q=80","45","8","120","24","78"
"","simple","NTP-TK005","Tu Quan Ao Canh Lua Minimal","1","1","visible","Tu Quan Ao Canh Lua Minimal - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Tu Quan Ao Canh Lua Minimal</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 180 x 60 x 210 cm</li><li>Khoi luong: 65 kg</li><li>Bao hanh 12 thang</li></ul>","9800000","11200000","Tu & Ke","tu quan ao, canh lua","https://images.unsplash.com/photo-1582582429416-97d2f9f5a93c?auto=format&fit=crop&w=1200&q=80","14","65","180","60","210"
"","simple","NTP-TK006","Ke Trung Bay Kinh Luxury","1","0","visible","Ke Trung Bay Kinh Luxury - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ke Trung Bay Kinh Luxury</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 100 x 38 x 185 cm</li><li>Khoi luong: 34 kg</li><li>Bao hanh 12 thang</li></ul>","5400000","6200000","Tu & Ke","ke trung bay, kinh","https://images.unsplash.com/photo-1556911220-bff31c812dba?auto=format&fit=crop&w=1200&q=80","18","34","100","38","185"
"","simple","NTP-GN001","Giuong Ngu King Size Walnut","1","1","visible","Giuong Ngu King Size Walnut - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Giuong Ngu King Size Walnut</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 200 x 180 x 110 cm</li><li>Khoi luong: 80 kg</li><li>Bao hanh 12 thang</li></ul>","22900000","25900000","Giuong & Nem","giuong ngu, king size","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80","12","80","200","180","110"
"","simple","NTP-GN002","Giuong Queen Linen Softtouch","1","0","visible","Giuong Queen Linen Softtouch - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Giuong Queen Linen Softtouch</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 200 x 160 x 105 cm</li><li>Khoi luong: 62 kg</li><li>Bao hanh 12 thang</li></ul>","14200000","16500000","Giuong & Nem","giuong queen, linen","https://images.unsplash.com/photo-1540518614846-7eded433c457?auto=format&fit=crop&w=1200&q=80","16","62","200","160","105"
"","simple","NTP-GN003","Giuong Tang Tre Em Dino","1","0","visible","Giuong Tang Tre Em Dino - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Giuong Tang Tre Em Dino</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 200 x 120 x 170 cm</li><li>Khoi luong: 58 kg</li><li>Bao hanh 12 thang</li></ul>","","9800000","Giuong & Nem","giuong tang, tre em","https://images.unsplash.com/photo-1505691938895-1758d7feb511?auto=format&fit=crop&w=1200&q=80","15","58","200","120","170"
"","simple","NTP-GN004","Nem Foam Cool Gel 1m6","1","0","visible","Nem Foam Cool Gel 1m6 - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Nem Foam Cool Gel 1m6</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 200 x 160 x 25 cm</li><li>Khoi luong: 22 kg</li><li>Bao hanh 12 thang</li></ul>","6900000","7900000","Giuong & Nem","nem foam, cool gel","https://images.unsplash.com/photo-1566665797739-1674de7a421a?auto=format&fit=crop&w=1200&q=80","28","22","200","160","25"
"","simple","NTP-GN005","Giuong Co Ngan Keo Storage Max","1","1","visible","Giuong Co Ngan Keo Storage Max - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Giuong Co Ngan Keo Storage Max</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 220 x 180 x 115 cm</li><li>Khoi luong: 74 kg</li><li>Bao hanh 12 thang</li></ul>","16900000","18900000","Giuong & Nem","giuong storage, ngan keo","https://images.unsplash.com/photo-1616596871468-6f4d30fbd8b4?auto=format&fit=crop&w=1200&q=80","13","74","220","180","115"
"","simple","NTP-GN006","Nem Latex Natural Sleep 1m8","1","0","visible","Nem Latex Natural Sleep 1m8 - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Nem Latex Natural Sleep 1m8</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 200 x 180 x 22 cm</li><li>Khoi luong: 29 kg</li><li>Bao hanh 12 thang</li></ul>","","13500000","Giuong & Nem","nem latex, cao cap","https://images.unsplash.com/photo-1616628182509-6f3cb0f5d2fc?auto=format&fit=crop&w=1200&q=80","20","29","200","180","22"
