"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Tags","Images","Stock","Weight (kg)","Length (cm)","Width (cm)","Height (cm)"
"","simple","NTP-GH003","Ghe Thu Gian Lounge Rattan","1","0","visible","Ghe Thu Gian Lounge Rattan - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe Thu Gian Lounge Rattan</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 72 x 78 x 86 cm</li><li>Khoi luong: 12 kg</li><li>Bao hanh 12 thang</li></ul>","3500000","4200000","Ghe","ghe lounge, rattan","","25","12","72","78","86"
"","simple","NTP-GH004","Ghe Bar Chan Sat Loft","1","0","visible","Ghe Bar Chan Sat Loft - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe Bar Chan Sat Loft</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 42 x 42 x 102 cm</li><li>Khoi luong: 7 kg</li><li>Bao hanh 12 thang</li></ul>","","1890000","Ghe","ghe bar, loft","","48","7","42","42","102"
"","simple","NTP-GH005","Ghe An Boc Da Classic","1","1","visible","Ghe An Boc Da Classic - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe An Boc Da Classic</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 47 x 54 x 88 cm</li><li>Khoi luong: 9 kg</li><li>Bao hanh 12 thang</li></ul>","2150000","2500000","Ghe","ghe an, boc da","","38","9","47","54","88"
"","simple","NTP-GH006","Ghe Xoay Lam Viec Neo","1","0","visible","Ghe Xoay Lam Viec Neo - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe Xoay Lam Viec Neo</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 64 x 64 x 112 cm</li><li>Khoi luong: 14 kg</li><li>Bao hanh 12 thang</li></ul>","2990000","3590000","Ghe","ghe xoay, workstation","","34","14","64","64","112"
"","simple","NTP-TK001","Tu Sach 5 Tang Minimalist Oak","1","1","visible","Tu Sach 5 Tang Minimalist Oak - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Tu Sach 5 Tang Minimalist Oak</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 80 x 35 x 180 cm</li><li>Khoi luong: 30 kg</li><li>Bao hanh 12 thang</li></ul>","3900000","4500000","Tu & Ke","tu sach, minimalist","","26","30","80","35","180"
"","simple","NTP-TK002","Ke Tivi Go Cao Su Rustic 1m8","1","0","visible","Ke Tivi Go Cao Su Rustic 1m8 - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ke Tivi Go Cao Su Rustic 1m8</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 180 x 40 x 55 cm</li><li>Khoi luong: 40 kg</li><li>Bao hanh 12 thang</li></ul>","","6500000","Tu & Ke","ke tivi, rustic","","22","40","180","40","55"
"","simple","NTP-TK003","Tu Giay Thong Minh Flip 24","1","0","visible","Tu Giay Thong Minh Flip 24 - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Tu Giay Thong Minh Flip 24</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 90 x 30 x 120 cm</li><li>Khoi luong: 24 kg</li><li>Bao hanh 12 thang</li></ul>","3100000","3600000","Tu & Ke","tu giay, thong minh","","30","24","90","30","120"
"","simple","NTP-TK004","Ke Treo Tuong Gallery 4 Tang","1","0","visible","Ke Treo Tuong Gallery 4 Tang - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ke Treo Tuong Gallery 4 Tang</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 120 x 24 x 78 cm</li><li>Khoi luong: 8 kg</li><li>Bao hanh 12 thang</li></ul>","","2100000","Tu & Ke","ke treo tuong, decor","","45","8","120","24","78"
"","simple","NTP-TK005","Tu Quan Ao Canh Lua Minimal","1","1","visible","Tu Quan Ao Canh Lua Minimal - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Tu Quan Ao Canh Lua Minimal</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 180 x 60 x 210 cm</li><li>Khoi luong: 65 kg</li><li>Bao hanh 12 thang</li></ul>","9800000","11200000","Tu & Ke","tu quan ao, canh lua","","14","65","180","60","210"
"","simple","NTP-TK006","Ke Trung Bay Kinh Luxury","1","0","visible","Ke Trung Bay Kinh Luxury - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ke Trung Bay Kinh Luxury</h3><p>San pham tu & ke thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 100 x 38 x 185 cm</li><li>Khoi luong: 34 kg</li><li>Bao hanh 12 thang</li></ul>","5400000","6200000","Tu & Ke","ke trung bay, kinh","","18","34","100","38","185"
"","simple","NTP-GN001","Giuong Ngu King Size Walnut","1","1","visible","Giuong Ngu King Size Walnut - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Giuong Ngu King Size Walnut</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 200 x 180 x 110 cm</li><li>Khoi luong: 80 kg</li><li>Bao hanh 12 thang</li></ul>","22900000","25900000","Giuong & Nem","giuong ngu, king size","","12","80","200","180","110"
"","simple","NTP-GN002","Giuong Queen Linen Softtouch","1","0","visible","Giuong Queen Linen Softtouch - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Giuong Queen Linen Softtouch</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 200 x 160 x 105 cm</li><li>Khoi luong: 62 kg</li><li>Bao hanh 12 thang</li></ul>","14200000","16500000","Giuong & Nem","giuong queen, linen","","16","62","200","160","105"
"","simple","NTP-GN003","Giuong Tang Tre Em Dino","1","0","visible","Giuong Tang Tre Em Dino - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Giuong Tang Tre Em Dino</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 200 x 120 x 170 cm</li><li>Khoi luong: 58 kg</li><li>Bao hanh 12 thang</li></ul>","","9800000","Giuong & Nem","giuong tang, tre em","","15","58","200","120","170"
"","simple","NTP-GN004","Nem Foam Cool Gel 1m6","1","0","visible","Nem Foam Cool Gel 1m6 - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Nem Foam Cool Gel 1m6</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 200 x 160 x 25 cm</li><li>Khoi luong: 22 kg</li><li>Bao hanh 12 thang</li></ul>","6900000","7900000","Giuong & Nem","nem foam, cool gel","","28","22","200","160","25"
"","simple","NTP-GN005","Giuong Co Ngan Keo Storage Max","1","1","visible","Giuong Co Ngan Keo Storage Max - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Giuong Co Ngan Keo Storage Max</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 220 x 180 x 115 cm</li><li>Khoi luong: 74 kg</li><li>Bao hanh 12 thang</li></ul>","16900000","18900000","Giuong & Nem","giuong storage, ngan keo","","13","74","220","180","115"
"","simple","NTP-GN006","Nem Latex Natural Sleep 1m8","1","0","visible","Nem Latex Natural Sleep 1m8 - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Nem Latex Natural Sleep 1m8</h3><p>San pham giuong & nem thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 200 x 180 x 22 cm</li><li>Khoi luong: 29 kg</li><li>Bao hanh 12 thang</li></ul>","","13500000","Giuong & Nem","nem latex, cao cap","","20","29","200","180","22"
